namespace,pod,node_name,cpu_usage_cores,mem_bytes,cpu_request_cores,collected_at
billing,worker-2,worker-node-1,1.053202,1041760419,0.5,2026-06-08 14:36:59
logging,elasticsearch,worker-node-2,2.653294,2128779126,1.0,2026-06-08 14:36:59
logging,kibana,worker-node-3,0.612899,510181163,0.5,2026-06-08 14:36:59
ml-inference,gpu-0,worker-node-1,3.789947,4195621113,2.0,2026-06-08 14:36:59
ml-inference,gpu-1,worker-node-2,3.472077,4230757760,2.0,2026-06-08 14:36:59
monitoring,prometheus,worker-node-1,0.069699,558257194,0.1,2026-06-08 14:36:59
api-gateway,auth,worker-node-3,0.304099,277486425,0.25,2026-06-08 14:37:17
api-gateway,proxy,worker-node-2,0.539507,271041254,0.25,2026-06-08 14:37:17
billing,api-7d9f,worker-node-1,0.410648,545125390,0.2,2026-06-08 14:37:17
billing,db-replica,worker-node-3,1.888698,2212598214,0.5,2026-06-08 14:37:17
billing,worker-2,worker-node-1,1.182862,1126639542,0.5,2026-06-08 14:37:17
logging,elasticsearch,worker-node-2,2.973973,2058567181,1.0,2026-06-08 14:37:17
logging,kibana,worker-node-3,0.677244,512286563,0.5,2026-06-08 14:37:17
ml-inference,gpu-0,worker-node-1,4.250048,4449658206,2.0,2026-06-08 14:37:17
ml-inference,gpu-1,worker-node-2,3.817431,4237258105,2.0,2026-06-08 14:37:17
monitoring,prometheus,worker-node-1,0.078427,556705552,0.1,2026-06-08 14:37:17
api-gateway,auth,worker-node-3,0.337423,263994415,0.25,2026-06-08 14:37:32
api-gateway,proxy,worker-node-2,0.599674,269955966,0.25,2026-06-08 14:37:32
billing,api-7d9f,worker-node-1,0.45712,555183063,0.2,2026-06-08 14:37:32
billing,db-replica,worker-node-3,2.079833,2195688735,0.5,2026-06-08 14:37:32
billing,worker-2,worker-node-1,1.31167,1075362297,0.5,2026-06-08 14:37:32
logging,elasticsearch,worker-node-2,3.271054,2131829614,1.0,2026-06-08 14:37:32
logging,kibana,worker-node-3,0.752173,531530749,0.5,2026-06-08 14:37:32
ml-inference,gpu-0,worker-node-1,4.679095,4334955772,2.0,2026-06-08 14:37:32
ml-inference,gpu-1,worker-node-2,4.241047,4082534764,2.0,2026-06-08 14:37:32
monitoring,prometheus,worker-node-1,0.085878,553491279,0.1,2026-06-08 14:37:32
api-gateway,auth,worker-node-3,0.369861,269959503,0.25,2026-06-08 14:37:50
api-gateway,proxy,worker-node-2,0.662244,272988245,0.25,2026-06-08 14:37:50
billing,api-7d9f,worker-node-1,0.506246,523697430,0.2,2026-06-08 14:37:50
billing,db-replica,worker-node-3,2.261088,2040970215,0.5,2026-06-08 14:37:50
billing,worker-2,worker-node-1,1.434196,1049814113,0.5,2026-06-08 14:37:50
logging,elasticsearch,worker-node-2,3.531694,2134454539,1.0,2026-06-08 14:37:50
logging,kibana,worker-node-3,0.815979,534345331,0.5,2026-06-08 14:37:50
ml-inference,gpu-0,worker-node-1,5.114109,4104278768,2.0,2026-06-08 14:37:50
ml-inference,gpu-1,worker-node-2,4.62856,4326404311,2.0,2026-06-08 14:37:50
monitoring,prometheus,worker-node-1,0.093627,528963135,0.1,2026-06-08 14:37:50
api-gateway,auth,worker-node-3,0.400194,281765792,0.25,2026-06-08 14:38:06
api-gateway,proxy,worker-node-2,0.721896,269419842,0.25,2026-06-08 14:38:06
billing,api-7d9f,worker-node-1,0.548213,562745105,0.2,2026-06-08 14:38:06
billing,db-replica,worker-node-3,2.435431,2232229430,0.5,2026-06-08 14:38:06
billing,worker-2,worker-node-1,1.564215,1050091941,0.5,2026-06-08 14:38:06
logging,elasticsearch,worker-node-2,3.823315,2186848479,1.0,2026-06-08 14:38:06
logging,kibana,worker-node-3,0.881563,529195187,0.5,2026-06-08 14:38:06
ml-inference,gpu-0,worker-node-1,5.516209,4290417969,2.0,2026-06-08 14:38:06
ml-inference,gpu-1,worker-node-2,5.044875,4296683028,2.0,2026-06-08 14:38:06
monitoring,prometheus,worker-node-1,0.101156,519860311,0.1,2026-06-08 14:38:06
api-gateway,auth,worker-node-3,0.430114,269024303,0.25,2026-06-08 14:38:24
api-gateway,proxy,worker-node-2,0.779513,255777440,0.25,2026-06-08 14:38:24
billing,api-7d9f,worker-node-1,0.594568,539046233,0.2,2026-06-08 14:38:24
billing,db-replica,worker-node-3,2.601224,2221134709,0.5,2026-06-08 14:38:24
billing,worker-2,worker-node-1,1.692506,1042697477,0.5,2026-06-08 14:38:24
logging,elasticsearch,worker-node-2,4.080585,2171642522,1.0,2026-06-08 14:38:24
logging,kibana,worker-node-3,0.953197,555015209,0.5,2026-06-08 14:38:24
ml-inference,gpu-0,worker-node-1,5.932561,4466304595,2.0,2026-06-08 14:38:24
ml-inference,gpu-1,worker-node-2,5.472122,4158248255,2.0,2026-06-08 14:38:24
monitoring,prometheus,worker-node-1,0.11034,548546106,0.1,2026-06-08 14:38:24
api-gateway,auth,worker-node-3,0.464545,260405054,0.25,2026-06-08 14:38:40
api-gateway,proxy,worker-node-2,0.834673,277172086,0.25,2026-06-08 14:38:40
billing,api-7d9f,worker-node-1,0.632407,534108136,0.2,2026-06-08 14:38:40
billing,db-replica,worker-node-3,2.768557,2132493903,0.5,2026-06-08 14:38:40
billing,worker-2,worker-node-1,1.821644,1027072549,0.5,2026-06-08 14:38:40
logging,elasticsearch,worker-node-2,4.405484,2077947986,1.0,2026-06-08 14:38:40
logging,kibana,worker-node-3,1.015605,517138692,0.5,2026-06-08 14:38:40
ml-inference,gpu-0,worker-node-1,6.352622,4369623566,2.0,2026-06-08 14:38:40
ml-inference,gpu-1,worker-node-2,5.830391,4131873782,2.0,2026-06-08 14:38:40
monitoring,prometheus,worker-node-1,0.117179,521300835,0.1,2026-06-08 14:38:40
api-gateway,auth,worker-node-3,0.495023,257402434,0.25,2026-06-08 14:38:59
api-gateway,proxy,worker-node-2,0.890091,271664748,0.25,2026-06-08 14:38:59
billing,api-7d9f,worker-node-1,0.678751,516473261,0.2,2026-06-08 14:38:59
billing,db-replica,worker-node-3,2.929883,2170090837,0.5,2026-06-08 14:38:59
billing,worker-2,worker-node-1,1.936863,1044443016,0.5,2026-06-08 14:38:59
logging,elasticsearch,worker-node-2,4.682684,2160799314,1.0,2026-06-08 14:38:59
logging,kibana,worker-node-3,1.084047,562482505,0.5,2026-06-08 14:38:59
ml-inference,gpu-0,worker-node-1,6.780284,4151351353,2.0,2026-06-08 14:38:59
ml-inference,gpu-1,worker-node-2,6.242879,4227978564,2.0,2026-06-08 14:38:59
monitoring,prometheus,worker-node-1,0.126111,530439989,0.1,2026-06-08 14:38:59
api-gateway,auth,worker-node-3,0.522406,265758335,0.25,2026-06-08 14:39:15
api-gateway,proxy,worker-node-2,0.944574,275625379,0.25,2026-06-08 14:39:15
billing,api-7d9f,worker-node-1,0.721546,519917856,0.2,2026-06-08 14:39:15
billing,db-replica,worker-node-3,3.126763,2046223212,0.5,2026-06-08 14:39:15
billing,worker-2,worker-node-1,2.050662,1089502439,0.5,2026-06-08 14:39:15
logging,elasticsearch,worker-node-2,4.944484,2114872588,1.0,2026-06-08 14:39:15
logging,kibana,worker-node-3,1.151113,561399393,0.5,2026-06-08 14:39:15
ml-inference,gpu-0,worker-node-1,7.245117,4381010636,2.0,2026-06-08 14:39:15
ml-inference,gpu-1,worker-node-2,6.589399,4098464499,2.0,2026-06-08 14:39:15
monitoring,prometheus,worker-node-1,0.135249,553821396,0.1,2026-06-08 14:39:15
api-gateway,auth,worker-node-3,0.552119,277133741,0.25,2026-06-08 14:39:33
api-gateway,proxy,worker-node-2,1.004544,270087092,0.25,2026-06-08 14:39:33
billing,api-7d9f,worker-node-1,0.76999,556894276,0.2,2026-06-08 14:39:33
billing,db-replica,worker-node-3,3.305568,2099233362,0.5,2026-06-08 14:39:33
billing,worker-2,worker-node-1,2.155794,1077682309,0.5,2026-06-08 14:39:33
logging,elasticsearch,worker-node-2,5.273803,2186122725,1.0,2026-06-08 14:39:33
logging,kibana,worker-node-3,1.2218,523798699,0.5,2026-06-08 14:39:33
ml-inference,gpu-0,worker-node-1,7.620626,4086826237,2.0,2026-06-08 14:39:33
ml-inference,gpu-1,worker-node-2,7.011833,4225057128,2.0,2026-06-08 14:39:33
monitoring,prometheus,worker-node-1,0.143212,510562676,0.1,2026-06-08 14:39:33
api-gateway,auth,worker-node-3,0.585407,257356084,0.25,2026-06-08 14:39:49
api-gateway,proxy,worker-node-2,1.063876,264168760,0.25,2026-06-08 14:39:49
billing,api-7d9f,worker-node-1,0.807587,524147585,0.2,2026-06-08 14:39:49
billing,db-replica,worker-node-3,3.500537,2054759828,0.5,2026-06-08 14:39:49
billing,worker-2,worker-node-1,2.258712,1033348176,0.5,2026-06-08 14:39:49
logging,elasticsearch,worker-node-2,5.571909,2204385727,1.0,2026-06-08 14:39:49
logging,kibana,worker-node-3,1.292928,515572554,0.5,2026-06-08 14:39:49
ml-inference,gpu-0,worker-node-1,8.012432,4383751659,2.0,2026-06-08 14:39:49
ml-inference,gpu-1,worker-node-2,7.372293,4287200050,2.0,2026-06-08 14:39:49
monitoring,prometheus,worker-node-1,0.151414,533430566,0.1,2026-06-08 14:39:49
api-gateway,auth,worker-node-3,0.612578,269305714,0.25,2026-06-08 14:40:07
api-gateway,proxy,worker-node-2,1.124929,259440779,0.25,2026-06-08 14:40:07
billing,api-7d9f,worker-node-1,0.855785,520159582,0.2,2026-06-08 14:40:07
billing,db-replica,worker-node-3,3.667258,2182630355,0.5,2026-06-08 14:40:07
billing,worker-2,worker-node-1,2.39447,1031596903,0.5,2026-06-08 14:40:07
logging,elasticsearch,worker-node-2,5.902868,2236765847,1.0,2026-06-08 14:40:07
logging,kibana,worker-node-3,1.36265,549582094,0.5,2026-06-08 14:40:07
ml-inference,gpu-0,worker-node-1,8.416209,4454686772,2.0,2026-06-08 14:40:07
ml-inference,gpu-1,worker-node-2,7.768694,4369972485,2.0,2026-06-08 14:40:07
monitoring,prometheus,worker-node-1,0.158384,562267247,0.1,2026-06-08 14:40:07
api-gateway,auth,worker-node-3,0.671542,256215923,0.25,2026-06-08 14:40:23
api-gateway,proxy,worker-node-2,1.244474,271344320,0.25,2026-06-08 14:40:23
billing,api-7d9f,worker-node-1,0.941374,526407553,0.2,2026-06-08 14:40:23
billing,db-replica,worker-node-3,4.046755,2074152778,0.5,2026-06-08 14:40:23
billing,worker-2,worker-node-1,2.636581,1035900450,0.5,2026-06-08 14:40:23
logging,elasticsearch,worker-node-2,6.419529,2184404293,1.0,2026-06-08 14:40:23
logging,kibana,worker-node-3,1.504094,541407879,0.5,2026-06-08 14:40:23
ml-inference,gpu-0,worker-node-1,9.288214,4187528107,2.0,2026-06-08 14:40:23
ml-inference,gpu-1,worker-node-2,8.581058,4199059818,2.0,2026-06-08 14:40:23
monitoring,prometheus,worker-node-1,0.175893,512560012,0.1,2026-06-08 14:40:23
api-gateway,auth,worker-node-3,0.705191,280724162,0.25,2026-06-08 14:40:42
api-gateway,proxy,worker-node-2,1.295641,261386186,0.25,2026-06-08 14:40:42
billing,api-7d9f,worker-node-1,0.978393,544628461,0.2,2026-06-08 14:40:42
billing,db-replica,worker-node-3,4.202924,2188414298,0.5,2026-06-08 14:40:42
billing,worker-2,worker-node-1,2.765576,1078210799,0.5,2026-06-08 14:40:42
logging,elasticsearch,worker-node-2,6.700958,2195820525,1.0,2026-06-08 14:40:42
logging,kibana,worker-node-3,1.566679,537480819,0.5,2026-06-08 14:40:42
ml-inference,gpu-0,worker-node-1,9.722393,4450688775,2.0,2026-06-08 14:40:42
ml-inference,gpu-1,worker-node-2,9.003984,4502401463,2.0,2026-06-08 14:40:42
monitoring,prometheus,worker-node-1,0.182949,529759130,0.1,2026-06-08 14:40:42
api-gateway,auth,worker-node-3,0.737108,279246910,0.25,2026-06-08 14:40:57
api-gateway,proxy,worker-node-2,1.355308,267988763,0.25,2026-06-08 14:40:57
billing,api-7d9f,worker-node-1,1.024459,515287975,0.2,2026-06-08 14:40:57
billing,db-replica,worker-node-3,4.388578,2156555344,0.5,2026-06-08 14:40:57
billing,worker-2,worker-node-1,2.880564,1044452216,0.5,2026-06-08 14:40:57
logging,elasticsearch,worker-node-2,6.959968,2240682580,1.0,2026-06-08 14:40:57
logging,kibana,worker-node-3,1.642692,521855112,0.5,2026-06-08 14:40:57
ml-inference,gpu-0,worker-node-1,10.190652,4378630759,2.0,2026-06-08 14:40:57
ml-inference,gpu-1,worker-node-2,9.344894,4423997212,2.0,2026-06-08 14:40:57
monitoring,prometheus,worker-node-1,0.191513,548960516,0.1,2026-06-08 14:40:57
api-gateway,auth,worker-node-3,0.762905,275714651,0.25,2026-06-08 14:41:16
api-gateway,proxy,worker-node-2,1.407169,280830830,0.25,2026-06-08 14:41:16
billing,api-7d9f,worker-node-1,1.063445,537338470,0.2,2026-06-08 14:41:16
billing,db-replica,worker-node-3,4.542334,2178734829,0.5,2026-06-08 14:41:16
billing,worker-2,worker-node-1,2.99631,1023518446,0.5,2026-06-08 14:41:16
logging,elasticsearch,worker-node-2,7.213048,2080304691,1.0,2026-06-08 14:41:16
logging,kibana,worker-node-3,1.71772,552727615,0.5,2026-06-08 14:41:16
ml-inference,gpu-0,worker-node-1,10.59534,4410395893,2.0,2026-06-08 14:41:16
ml-inference,gpu-1,worker-node-2,9.693316,4139431279,2.0,2026-06-08 14:41:16
monitoring,prometheus,worker-node-1,0.200149,562974689,0.1,2026-06-08 14:41:16
api-gateway,auth,worker-node-3,0.790427,263917975,0.25,2026-06-08 14:41:32
api-gateway,proxy,worker-node-2,1.461453,260256053,0.25,2026-06-08 14:41:32
billing,api-7d9f,worker-node-1,1.106718,519605377,0.2,2026-06-08 14:41:32
billing,db-replica,worker-node-3,4.704542,2193901737,0.5,2026-06-08 14:41:32
billing,worker-2,worker-node-1,3.126043,1025686020,0.5,2026-06-08 14:41:32
logging,elasticsearch,worker-node-2,7.522619,2062637070,1.0,2026-06-08 14:41:32
logging,kibana,worker-node-3,1.790595,518041702,0.5,2026-06-08 14:41:32
ml-inference,gpu-0,worker-node-1,11.003725,4127533028,2.0,2026-06-08 14:41:32
ml-inference,gpu-1,worker-node-2,10.093636,4479533783,2.0,2026-06-08 14:41:32
monitoring,prometheus,worker-node-1,0.207175,560738086,0.1,2026-06-08 14:41:32
api-gateway,auth,worker-node-3,0.820275,261266489,0.25,2026-06-08 14:41:50
api-gateway,proxy,worker-node-2,1.5233,263630376,0.25,2026-06-08 14:41:50
billing,api-7d9f,worker-node-1,1.146936,533618987,0.2,2026-06-08 14:41:50
billing,db-replica,worker-node-3,4.900904,2108600622,0.5,2026-06-08 14:41:50
billing,worker-2,worker-node-1,3.236958,1038273141,0.5,2026-06-08 14:41:50
logging,elasticsearch,worker-node-2,7.825703,2170685515,1.0,2026-06-08 14:41:50
logging,kibana,worker-node-3,1.854168,510910320,0.5,2026-06-08 14:41:50
ml-inference,gpu-0,worker-node-1,11.377954,4309798021,2.0,2026-06-08 14:41:50
ml-inference,gpu-1,worker-node-2,10.444927,4500001632,2.0,2026-06-08 14:41:50
monitoring,prometheus,worker-node-1,0.214571,531817114,0.1,2026-06-08 14:41:50
api-gateway,auth,worker-node-3,0.848991,259686063,0.25,2026-06-08 14:42:06
api-gateway,proxy,worker-node-2,1.577387,280096338,0.25,2026-06-08 14:42:06
billing,api-7d9f,worker-node-1,1.189887,541310778,0.2,2026-06-08 14:42:06
billing,db-replica,worker-node-3,5.064847,2079778764,0.5,2026-06-08 14:42:06
billing,worker-2,worker-node-1,3.356208,1034375348,0.5,2026-06-08 14:42:06
logging,elasticsearch,worker-node-2,8.117482,2227890760,1.0,2026-06-08 14:42:06
logging,kibana,worker-node-3,1.918958,517762751,0.5,2026-06-08 14:42:06
ml-inference,gpu-0,worker-node-1,11.757265,4385396954,2.0,2026-06-08 14:42:06
ml-inference,gpu-1,worker-node-2,10.791354,4389789582,2.0,2026-06-08 14:42:06
monitoring,prometheus,worker-node-1,0.222546,535510558,0.1,2026-06-08 14:42:06
api-gateway,auth,worker-node-3,0.876228,272830846,0.25,2026-06-08 14:42:25
api-gateway,proxy,worker-node-2,1.624685,281592646,0.25,2026-06-08 14:42:25
billing,api-7d9f,worker-node-1,1.228484,562400304,0.2,2026-06-08 14:42:25
billing,db-replica,worker-node-3,5.256725,2068774564,0.5,2026-06-08 14:42:25
billing,worker-2,worker-node-1,3.473511,1045647803,0.5,2026-06-08 14:42:25
logging,elasticsearch,worker-node-2,8.42971,2128796896,1.0,2026-06-08 14:42:25
logging,kibana,worker-node-3,1.99729,559603903,0.5,2026-06-08 14:42:25
ml-inference,gpu-0,worker-node-1,12.120845,4494400088,2.0,2026-06-08 14:42:25
ml-inference,gpu-1,worker-node-2,11.188699,4089575070,2.0,2026-06-08 14:42:25
monitoring,prometheus,worker-node-1,0.230551,563533685,0.1,2026-06-08 14:42:25
api-gateway,auth,worker-node-3,0.902914,259224230,0.25,2026-06-08 14:42:40
api-gateway,proxy,worker-node-2,1.685197,260627789,0.25,2026-06-08 14:42:40
billing,api-7d9f,worker-node-1,1.275982,540329714,0.2,2026-06-08 14:42:40
billing,db-replica,worker-node-3,5.459343,2135596868,0.5,2026-06-08 14:42:40
billing,worker-2,worker-node-1,3.606386,1074402798,0.5,2026-06-08 14:42:40
logging,elasticsearch,worker-node-2,8.714205,2201184540,1.0,2026-06-08 14:42:40
logging,kibana,worker-node-3,2.057362,553263313,0.5,2026-06-08 14:42:40
ml-inference,gpu-0,worker-node-1,12.522653,4104287340,2.0,2026-06-08 14:42:40
ml-inference,gpu-1,worker-node-2,11.518389,4301979124,2.0,2026-06-08 14:42:40
monitoring,prometheus,worker-node-1,0.239686,538810228,0.1,2026-06-08 14:42:40
api-gateway,auth,worker-node-3,0.932387,274493193,0.25,2026-06-08 14:42:59
api-gateway,proxy,worker-node-2,1.74366,277371670,0.25,2026-06-08 14:42:59
billing,api-7d9f,worker-node-1,1.316965,559361230,0.2,2026-06-08 14:42:59
billing,db-replica,worker-node-3,5.65132,2214440574,0.5,2026-06-08 14:42:59
billing,worker-2,worker-node-1,3.708662,1024942191,0.5,2026-06-08 14:42:59
logging,elasticsearch,worker-node-2,9.027395,2145488955,1.0,2026-06-08 14:42:59
logging,kibana,worker-node-3,2.133719,558452141,0.5,2026-06-08 14:42:59
ml-inference,gpu-0,worker-node-1,12.871292,4257494962,2.0,2026-06-08 14:42:59
ml-inference,gpu-1,worker-node-2,11.854414,4167305899,2.0,2026-06-08 14:42:59
monitoring,prometheus,worker-node-1,0.248757,517449196,0.1,2026-06-08 14:42:59
api-gateway,auth,worker-node-3,0.958805,275517523,0.25,2026-06-08 14:43:15
api-gateway,proxy,worker-node-2,1.792093,275524045,0.25,2026-06-08 14:43:15
billing,api-7d9f,worker-node-1,1.355111,524412642,0.2,2026-06-08 14:43:15
billing,db-replica,worker-node-3,5.857818,2140288087,0.5,2026-06-08 14:43:15
billing,worker-2,worker-node-1,3.820427,1086818316,0.5,2026-06-08 14:43:15
logging,elasticsearch,worker-node-2,9.309651,2172619127,1.0,2026-06-08 14:43:15
logging,kibana,worker-node-3,2.206584,521422350,0.5,2026-06-08 14:43:15
ml-inference,gpu-0,worker-node-1,13.244911,4182708619,2.0,2026-06-08 14:43:15
ml-inference,gpu-1,worker-node-2,12.184936,4455319792,2.0,2026-06-08 14:43:15
monitoring,prometheus,worker-node-1,0.25637,552098963,0.1,2026-06-08 14:43:15
api-gateway,auth,worker-node-3,0.987297,270411887,0.25,2026-06-08 14:43:31
api-gateway,proxy,worker-node-2,1.847029,267470208,0.25,2026-06-08 14:43:31
billing,api-7d9f,worker-node-1,1.401892,546650211,0.2,2026-06-08 14:43:31
billing,db-replica,worker-node-3,6.053733,2168673398,0.5,2026-06-08 14:43:31
billing,worker-2,worker-node-1,3.927909,1072564664,0.5,2026-06-08 14:43:31
logging,elasticsearch,worker-node-2,9.616181,2098481220,1.0,2026-06-08 14:43:31
logging,kibana,worker-node-3,2.267902,551986704,0.5,2026-06-08 14:43:31
ml-inference,gpu-0,worker-node-1,13.704686,4490103977,2.0,2026-06-08 14:43:31
ml-inference,gpu-1,worker-node-2,12.560296,4356468559,2.0,2026-06-08 14:43:31
monitoring,prometheus,worker-node-1,0.263716,524991999,0.1,2026-06-08 14:43:31
api-gateway,auth,worker-node-3,1.017529,268319215,0.25,2026-06-08 14:43:49
api-gateway,proxy,worker-node-2,1.897662,274213242,0.25,2026-06-08 14:43:49
billing,api-7d9f,worker-node-1,1.442394,536774362,0.2,2026-06-08 14:43:49
billing,db-replica,worker-node-3,6.206856,2130439964,0.5,2026-06-08 14:43:49
billing,worker-2,worker-node-1,4.059116,1112165936,0.5,2026-06-08 14:43:49
logging,elasticsearch,worker-node-2,9.933788,2103204223,1.0,2026-06-08 14:43:49
logging,kibana,worker-node-3,2.331621,558191583,0.5,2026-06-08 14:43:49
ml-inference,gpu-0,worker-node-1,14.151785,4260322763,2.0,2026-06-08 14:43:49
ml-inference,gpu-1,worker-node-2,12.974385,4311833920,2.0,2026-06-08 14:43:49
monitoring,prometheus,worker-node-1,0.272432,532663113,0.1,2026-06-08 14:43:49
api-gateway,auth,worker-node-3,1.049751,267372520,0.25,2026-06-08 14:44:05
api-gateway,proxy,worker-node-2,1.958555,264461135,0.25,2026-06-08 14:44:05
billing,api-7d9f,worker-node-1,1.489004,560336839,0.2,2026-06-08 14:44:05
billing,db-replica,worker-node-3,6.376314,2119065765,0.5,2026-06-08 14:44:05
billing,worker-2,worker-node-1,4.171238,1023898066,0.5,2026-06-08 14:44:05
logging,elasticsearch,worker-node-2,10.241786,2149092976,1.0,2026-06-08 14:44:05
logging,kibana,worker-node-3,2.393219,559427524,0.5,2026-06-08 14:44:05
ml-inference,gpu-0,worker-node-1,14.5194,4116917836,2.0,2026-06-08 14:44:05
ml-inference,gpu-1,worker-node-2,13.401529,4259780838,2.0,2026-06-08 14:44:05
monitoring,prometheus,worker-node-1,0.280752,541352704,0.1,2026-06-08 14:44:05
api-gateway,auth,worker-node-3,1.078088,275337929,0.25,2026-06-08 14:44:24
api-gateway,proxy,worker-node-2,2.016047,260500813,0.25,2026-06-08 14:44:24
